Year,Film,Original Title,International Title,Director,Country
1968,The Visionaries,I visionari,,Maurizio Ponzi,Italy
1969,"Charles, Dead or Alive",Charles mort ou vif,,Alain Tanner,Switzerland
1970,End of the Road,,,Aram Avakian,USA
1970,Lilika,,,Branko Plesa,Serbia / Croatia
1970,This Passing Life,Mujo,,Akio Jissoji,Japan
1970,"Oh, Sun",Soleil O,,Med Hondo,France / Mauritania
1971,They Have Changed Their Face,Hanno cambiato faccia,,Corrado Farina,Italy
1971,The Friends,Les amis,,Gérard Blain,France
1971,On the Point of Death,In punto di morte,,Mario Garriba,Italy
1972,Bleak Moments,,,Mike Leigh,United Kingdom
1973,The Illumination,Iluminacja,,Krzysztof Zanussi,Poland
1974,25 Fireman's Street,Tüzoltó utca 25.,,István Szabó,Hungary
1975,The Son of Amir Is Dead,Le fils d'Amr est mort,,Jean-Jacques Andrien,Belgium / France / Tunisia
1976,The Big Night,Le grand soir,,Francis Reusser,Switzerland
1977,Antonio Gramsci: The Days of Prison,Antonio Gramsci: i giorni del carcere,,Lino Del Fra,Italy
1978,The Slothful Ones of the Fertile Valley,Oi tembelides tis eforis koiladas,,Nikos Panayotopoulos,Greece
1979,The Herd,Sürü,,Zeki Ökten,Turkey
1980,To Love the Damned,Maledetti vi amerò,,Marco Tullio Giordana,Italy
1981,The Vicious Circle,Chakra,,Rabindra Dharmaraj,India
1983,The Princess,Adj király katonát,,Pál Erdöss,Hungary
1984,Stranger Than Paradise,,,Jim Jarmusch,USA / West Germany
1985,Alpine Fire,Höhenfeuer,,Fredi M. Murer,Switzerland
1986,Lake of Constance,Jezioro Bodenskie,,Janusz Zaorski,Poland
1987,The Jester,O Bobo,,José Alvaro Morais,Portugal
1988,"Distant Voices, Still Lives",,,Terence Davies,United Kingdom
1988,Schmetterlinge,,,Wolfgang Becker,West Germany
1989,Why Has Bodhi-Dharma Left for the East?,Dharmaga tongjoguro kan kkadalgun,,Yong-kyun Bae,South Korea
1990,Accidental Waltz,Sluchaynyy Vals,,Svetlana Proskurina,Soviet Union
1991,Johnny Suede,,,Tom DiCillo,France / United States / Switzerland
1992,Autumn Moon,Qiu yue,,Clara Law,Hong Kong / Japan
1993,Azghyin ushtykzyn'azaby,,,Yermek Shinarbayev,Kazakhstan
1994,The Jar,Khomreh,,Ebrahim Forouzesh,Iran
1995,Raï,,,Thomas Gilou,France
1996,Nenette and Boni,Nenette et Boni,,Claire Denis,France
1997,The Mirror,Ayneh,,Jafar Panahi,Iran
1998,Mr. Zhao,Zhao xiansheng,,Yue Lü,China/Hong Kong
1999,"Skin of Man, Heart of Beast","Peau d'homme, coeur de bête",,Hélène Angel,France
2000,Father,Baba,,Shuo Wang,China
2001,Off to the Revolution by a 2CV,Alla rivoluzione sulla due cavalli,,Maurizio Sciarra,Italy
2002,The Longing,Das Verlangen,,Iain Dilthey,Germany
2003,Silent Waters,Khamosh Pani: Silent Waters,,Sabiha Sumar,Pakistan / France / Germany
2004,Private,,,Saverio Costanzo,Italy
2005,Nine Lives,,,Rodrigo Garcí­a,USA
2006,Fraulein,Das Fräulein,,Andrea Staka,Switzerland / Germany
2007,The Rebirth,Ai no yokan,,Masahiro Kobayashi,Japan
2008,Parque vía,,,Enrique Rivero,Mexico
2009,"She, a Chinese",,,Xiaolu Guo,United Kingdom / France / Germany
2010,Winter Vacation,Han jia,,Hongqui Li,China
2011,Back to Stay,Abrir puertas y ventanas,,Milagros Mumenthaler,Argentina / Switzerland / Netherlands
2012,The Girl from Nowhere,La fille de nulle part,,Jean-Claude Brisseau,France
2013,Story of My Death,Historia de la meva mort,,Albert Serra,Spain / France
2014,From what is before,Mula sa kung ano ang noon,,Lav Diaz ,Philippines
2015,"Right Now, Wrong Then",Jigeumeun matgo geuttaeneun teullida ,,Sang-soo Hong,South Korea